ac_number,constituency,,male,female,third_gender,total
152,Vriddhachalam,,119709,121113,22,240844
153,Neyveli,,95570,95751,16,191337
154,Panruti,,117312,124455,72,241839
155,Cuddalore,,106273,116890,80,223243
156,Kurinjipadi,,116933,121308,46,238287
157,Bhuvanagiri,,115865,117469,19,233353
158,Chidambaram,,113648,117647,30,231325
159,Kattumannarkoil,,112652,113847,10,226509
160,Sirkazhi,,119650,121769,13,241432
161,Mayiladuthurai,,115519,119077,26,234622
162,Poompuhar,,128012,131312,8,259332
163,Nagapattinam,,85318,89396,22,174736
164,Kilvelur,,84174,86452,7,170633
165,Vedaranyam,,92434,95092,1,187527
166,Thiruthuraipoondi,,111654,115273,13,226940
167,Mannargudi,,113724,120826,4,234554
168,Thiruvarur,,127141,132984,20,260145
169,Nannilam,,132488,135074,14,267576
170,Thiruvidaimarudur,,126301,130705,8,257014
171,Kumbakonam,,123565,130803,15,254383
172,Papanasam,,124835,131759,23,256617
173,Thiruvaiyaru,,126442,132135,20,258597
174,Thanjavur,,120469,132322,50,252841
175,Orathanadu,,113523,120229,6,233758
176,Pattukkottai,,116063,126368,20,242451
177,Peravurani,,104814,109145,15,213974
178,Gandharvakottai,,98651,97444,9,196104
179,Viralimalai,,110937,114188,34,225159
180,Pudukkottai,,110873,115114,22,226009
181,Thirumayam,,107642,112977,3,220622
182,Alangudi,,104833,107306,0,212139
183,Aranthangi,,113235,116597,2,229834
184,Karaikudi,,149478,156617,29,306124
185,Tiruppattur(AC-185),,135526,140469,4,275999
186,Sivaganga,,136503,142103,3,278609
187,Manamadurai,,128154,132042,7,260203
188,Melur,,114265,115785,11,230061
189,Madurai East,,164049,172632,57,336738
190,Sholavandan,,105847,109489,12,215348
191,Madurai North,,107562,113714,50,221326
192,Madurai South,,88345,91609,49,180003
193,Madurai Central,,97051,102648,26,199725
194,Madurai West,,135219,140458,12,275689
195,Thiruparankundram,,152686,158988,31,311705
196,Thirumangalam,,128372,134567,9,262948
197,Usilampatti,,134096,133865,8,267969
198,Andipatti,,126975,130992,30,257997
199,Periyakulam,,130120,136340,110,266570
200,Bodinayakanur,,128663,135707,16,264386
201,Cumbum,,124942,132359,22,257323
202,Rajapalayam,,104592,110021,33,214646
203,Srivilliputhur,,109704,115160,39,224903
204,Sattur,,112159,117928,62,230149
205,Sivakasi,,110989,117448,28,228465
206,Virudhunagar,,97702,103195,41,200938
207,Aruppukkottai,,101021,107118,29,208168
208,Tiruchuli,,101535,104131,15,205681
209,Paramakudi,,116769,118322,18,235109
210,Tiruvadanai,,141198,142909,23,284130
211,Ramanathapuram,,153584,158866,13,312463
212,Mudhukulathur,,149600,150100,2,299702
213,Vilathikulam,,100955,104494,16,205465
214,Thoothukkudi,,121897,128841,65,250803
215,Tiruchendur,,113532,119499,30,233061
216,Srivaikuntam,,106078,108547,5,214630
217,Ottapidaram,,119629,125001,56,244686
218,Kovilpatti,,117661,124669,29,242359
219,Sankarankovil,,116467,122551,17,239035
220,Vasudevanallur,,112113,117053,13,229179
221,Kadayanallur,,133499,136207,17,269723
222,Tenkasi,,137606,144294,102,282002
223,Alangulam,,124973,130736,21,255730
224,Tirunelveli,,133987,142229,80,276296
225,Ambasamudram,,110714,117520,12,228246
226,Palayamkottai,,125093,132387,18,257498
227,Nanguneri,,126747,130720,13,257480
228,Radhapuram,,121832,125455,23,247310
229,Kanniyakumari,,142753,146714,94,289561
230,Nagercoil,,127154,132197,10,259361
231,Colachal,,133550,132504,1,266055
232,Padmanabhapuram,,119087,118070,3,237160
233,Vilavancode,,114567,114127,3,228697
234,Killiyoor,,125668,121606,15,247289
,,,28097003,29307062,7728,57411793
